i	x	xc
0	0.0	0.0
1	0.01	0.01
2	0.03	0.03
3	0.05	0.05
4	0.07	0.07
5	0.09	0.09
6	0.11	0.11
7	0.13	0.13
8	0.15000000000000002	0.15000000000000002
9	0.16999999999999998	0.16999999999999998
10	0.19	0.19
11	0.21000000000000002	0.21000000000000002
12	0.22999999999999998	0.22999999999999998
13	0.25	0.25
14	0.27	0.27
15	0.29000000000000004	0.29000000000000004
16	0.31	0.31
17	0.33	0.33
18	0.35	0.35
19	0.37	0.37
20	0.39	0.39
21	0.41000000000000003	0.41000000000000003
22	0.43	0.43
23	0.45	0.45
24	0.47	0.47
25	0.49	0.49
26	0.51	0.51
27	0.53	0.53
28	0.55	0.55
29	0.5700000000000001	0.5700000000000001
30	0.59	0.59
31	0.61	0.61
32	0.63	0.63
33	0.65	0.65
34	0.67	0.67
35	0.6900000000000001	0.6900000000000001
36	0.71	0.71
37	0.73	0.73
38	0.75	0.75
39	0.77	0.77
40	0.79	0.79
41	0.81	0.81
42	0.8300000000000001	0.8300000000000001
43	0.85	0.85
44	0.87	0.87
45	0.89	0.89
46	0.91	0.91
47	0.93	0.93
48	0.95	0.95
49	0.97	0.97
50	0.99	0.99
51	1.0	1.0
